CASE_ID|CASE_NAME|CASE_NUMBER|CASE_TYPE|CASE_STATUS|CASE_PRIORITY
C34D9837-1952-E28F-46E2-CDFD858E4D9E|Jameson Hendrix|1664120486599|Administration|Pending Input|P3
06058B7E-AA9F-5E0C-0ACF-918BE9CA4775|Wayne Bowman|1654080521999|Product|Assigned|P3
24A6273D-B4E1-40A5-8991-D3E87BE4A6EC|Graiden Joyce|1661122808699|Product|Assigned|P3
8A9C64E6-BC7D-6D32-2AB1-9EED3079A854|Clark Bartlett|1663061404799|Administration|Assigned|P2
65B10C0E-C93F-20A0-C27C-B16A042D3AE4|Warren Bolton|1664122112599|Product|New|P3
0F9A77FA-8DAB-381F-3D7D-FE5B10DC32CA|Magee Alvarado|1658081073599|Administration|Closed|P3
6C1B49B8-75F3-5FB4-5F91-359623CC8A23|Quentin Compton|1628090742899|Administration|Pending Input|P2
0A8DE9DB-6F32-4821-4E65-400D5EC0C399|Brendan Bright|1689022626099|Product|Rejected|P2
A9DA2850-9C65-50A8-6B99-B6EAE55BABA0|Ryan Clements|1677080127599|Product|New|P3
B9102A8C-96A4-27FC-BBFB-70B8C3E7E7C5|Castor Mercado|1688112577299|Product|Pending Input|P2
9D4C3AE4-5031-B01F-A509-59F92F2FE22C|Joseph Hodge|1629100605299|Product|New|P1
F33A45C6-24AE-EEA5-EBA0-D75DED16A8D4|Cairo Good|1695032391899|Product|New|P3
AB019319-51A7-5151-A7B0-34EFE3A10725|Hasad Vazquez|1645031105799|Product|New|P3
D32F3DD3-D388-59EE-ED07-78813AC10F62|Cooper Horton|1633012588299|Administration|Rejected|P2
1F775EAA-0A3C-A183-5A66-1A9814E43E1C|Cullen Nieves|1633050444599|Product|Closed|P3
F1DA25BE-5626-02E0-7E2D-25D51D34DB9E|Harper Parsons|1640012727999|Product|New|P1
E0D48B1C-18E9-6DB3-204E-47740B0F0FB2|Omar Harrell|1665060423999|Administration|New|P3
EA13FCC2-07F5-5F49-5E8A-A9F9F70F18EE|Bert Decker|1696092017699|Product|Pending Input|P1
E8E0B0E2-3403-681D-1152-7E525B984238|Lionel Townsend|1615022954999|Product|New|P1
9C543218-60AC-46F0-F44D-52547DF7A488|Nehru Woodward|1640100298299|Product|Rejected|P2
4C7F21DF-26D9-45CA-C7D1-44ADF3B42EBC|Hoyt Mccoy|1698072743499|Product|New|P1
F1CC771C-4BAB-D828-0996-1E4FF44A6FE7|Colt Espinoza|1663081815799|Product|Rejected|P3
12E3DA48-3F57-2312-7F92-92DF05800A1A|Wade Grimes|1656032399899|Product|Pending Input|P3
3C35894A-4932-9222-89E2-DE7ECB6DE0B9|Abdul Bradshaw|1643070169699|Administration|Rejected|P1
158ACF57-BE54-A5B0-1B74-0E405129CFC6|Zeus Strickland|1631120138499|Product|Rejected|P1
88954CF4-F2E3-1157-7B4B-BA7F2AD12554|Davis Berger|1627030615999|Product|Pending Input|P3
F3051D2C-A435-CDC7-6913-79490A80A003|Macaulay Stephens|1689062128599|Product|Assigned|P2
6323369B-B4AB-5843-B919-6B5383FA0B5B|Cooper Byrd|1600120570799|Administration|Assigned|P2
9BB35082-9997-666F-8435-580FA58C00CC|Kato Gilbert|1632081791499|Administration|New|P1
552EC153-DC5C-2D4F-2D7A-5E3B7563DC39|Howard Dunn|1657022483699|Product|Rejected|P2
C1C8C463-D35A-56F3-1CC7-62E58B34B822|Reuben Schwartz|1648041434099|Product|Assigned|P2
121257E4-F490-02B7-6CF6-146EB4F8ADC5|Ross Barrett|1663112534599|Administration|Rejected|P3
428315FC-F947-576D-C40A-4F1E412A0373|Kane Mcmahon|1634011834399|Product|Closed|P1
B5EF15A5-4E23-1787-4543-44C3805D32E7|Jakeem Rice|1680022760099|Product|New|P3
895B0194-C0A1-AF10-1DC2-3B321A5FE58E|Hector Mooney|1603082945499|Administration|Rejected|P1
EB5B8504-DF85-5624-7245-C740ADFE69A2|Ronan Case|1624101364299|Administration|Pending Input|P3
FB825626-36D9-AE0F-23A8-BD54D493E452|Carl Mendoza|1668111645199|Administration|Closed|P3
FD5C55A4-65F8-57AD-11CC-2BEE490CC2FB|Noah Burton|1687102969599|Administration|Assigned|P2
51B75938-60A4-3722-1878-1DD53B9E7AD8|Owen Vaughn|1629032254299|Product|Assigned|P3
3392A7A7-F415-9802-F76A-E44FF1B72BCA|Valentine Keith|1664101276199|Administration|Pending Input|P1
1A999234-D096-A5DE-87A4-302B61BE64A8|Tyler Nixon|1642010170399|Product|Pending Input|P2
DDD0B044-EDDB-4C37-06FB-7AE50DB52D5E|Ryan Kerr|1681120120499|Administration|Rejected|P3
8ACF586B-01EA-D53C-4085-5E95562E64E6|Chancellor Anthony|1644100643999|Product|Assigned|P3
EA00F882-9F8A-7CF0-6ADF-5A11C02209C6|Ishmael Chandler|1604082476199|Administration|New|P3
5B6B3C9D-AFAE-42C6-CA04-C42A204EB5FB|Baxter Brock|1633012868599|Product|Assigned|P2
0AAF1F2D-731C-66AF-19A3-A4490CA281FE|Xander Frost|1611042528099|Administration|New|P1
DC8E5C14-19DF-1654-A21A-3F2F11744EDD|Duncan Dawson|1648100134899|Administration|Pending Input|P1
7DED6822-A35A-5F2C-8D77-95B8487C0107|Mason Cruz|1664101856499|Product|Assigned|P3
5623FBF1-2090-7950-1924-35A137592D49|Damon Vance|1645072264999|Administration|Assigned|P2
363C5ADB-CF19-A652-3F92-43D9D6F5B4EB|Blaze Carey|1656040467399|Administration|Pending Input|P3
202D7FAA-4BCD-5659-3B81-33E79349FFFA|Felix Hawkins|1676090523599|Administration|Closed|P1
197A918A-B641-9044-3645-90ACF2F01E34|Ferdinand Mcdaniel|1687010861999|Product|Pending Input|P2
AB4BA052-BBB6-1929-1F90-49A2D33C24C7|Talon Gomez|1645020487799|Administration|Closed|P1
624CE498-43E3-BF7C-3B0D-57A476817AA2|Omar Lowe|1653012712799|Product|Assigned|P1
9EDB1292-62DD-C5AC-0944-478F8AEF0D1D|Knox Clay|1682052022899|Product|Pending Input|P1
6ECA97F1-BF06-C87C-06F5-25B0171FB687|Arthur Kent|1643110216099|Administration|New|P1
C5004034-19D3-E9E7-A273-9FE607F5DF19|Nigel Clark|1643042352799|Product|Assigned|P2
C88AE568-6BBF-EEE8-293E-74F9DE96F240|Andrew Lambert|1603022649399|Product|Assigned|P3
E0E92F1F-6941-D589-BE3C-5BBB20BD47F5|Hedley Ryan|1625110175099|Administration|Pending Input|P1
B54A4B0E-8E9B-1BFE-D4E2-CEB093E858F2|Brenden Sexton|1635062239599|Product|Closed|P2
EDF9BAC7-89A7-FA15-C9EF-9921CB2D3207|Cedric Rasmussen|1699081654699|Administration|Rejected|P2
BD5311F5-B48F-01F2-8DFD-FA2155F792A0|Cairo Aguirre|1673070282099|Product|Rejected|P2
D3643775-1A57-B23D-29ED-2B17DC138224|Vladimir Sloan|1623042199699|Product|Assigned|P3
E48342DF-601E-07F9-422D-D7C336D5F3FD|Dillon Mcclure|1622041864499|Product|Rejected|P3
547BEA7F-A51A-7830-50E1-E0427EB03794|Emery Houston|1672080934299|Administration|Closed|P3
639E0D4F-552D-A268-79A6-4701CFD3B113|Armando Peck|1631100134099|Product|Closed|P1
99B0FA64-CBB3-C226-F54E-842D018D9D3C|Ronan Simon|1600020410199|Administration|Pending Input|P2
65F92E02-DF2E-570C-1625-058F1A084A41|Holmes Hooper|1632122089599|Administration|New|P1
6670B0DB-4AAC-5E83-2AE3-2C3C26E2466E|Price Dominguez|1624011344299|Product|Assigned|P3
98BB3159-CE02-DDF6-0CED-B2B02DD40860|Ulysses Hogan|1613121726599|Product|Rejected|P2
C326918C-CAE5-E0F4-2FA2-8C743608211D|Herman Sharpe|1668052598699|Product|Closed|P2
7EA48A3F-6EF9-1770-B5EF-1D2E498E1A35|Griffith Christensen|1634112904799|Administration|Pending Input|P2
85765C96-BD22-DF66-75C6-19826303053D|Elmo Hansen|1651053016199|Product|Pending Input|P2
C1F90841-D90B-40DA-3BC3-F2EDE00BB9D0|Barry Trujillo|1657040725699|Product|Closed|P1
D9FA4BD7-CFAB-2A6F-B58A-660E4B5B9498|Zeus Powell|1623042921499|Product|Pending Input|P3
