CASE_ID|CASE_NAME|CASE_NUMBER|CASE_TYPE|CASE_STATUS|CASE_PRIORITY
1D033F48-CB5B-BCFC-3582-1EF3E84610D7|Inez Castaneda|96055|Administration|Pending Input|P2
B77F0C91-28D5-6706-281C-8EB6771A3403|Brielle Estes|86407|Administration|Closed|P1
6E78802F-C445-B218-A47E-9D257BD97480|Dane B. Petty|34588|Product|Rejected|P3
03AEADEE-CCA4-5286-675F-A190419E4EEF|Maile Fox|23270|Administration|Pending Input|P2
E41F8F13-F41A-5703-2ABB-8628AA540E60|Mohammad Byers|14819|Administration|Rejected|P1
3F58AAEC-CC7B-6F9D-BBCB-3DDC3C5E554D|Drake Blake|29522|Administration|New|P3
70063062-E6DC-C9C1-B986-A591D915C133|Oren F. Mann|30868|Product|Closed|P2
52F6495A-62A8-5BB3-D7A7-A03C5618A72D|Chiquita Clemons|60480|Product|Pending Input|P3
26EF229A-A4B8-819B-5FC0-B38AA8AA6025|Victoria J. Cobb|74902|Product|Closed|P1
3A3DAADD-6BFB-316B-EE75-25DE8690698B|Hector Hughes|09889|Administration|Closed|P3
2BC69EF2-4176-FAF5-07DF-71ACF54E27F1|Grace G. Arnold|84084|Product|Closed|P1
B4E646D0-D05C-5280-66D7-7947BCBD4753|Megan House|54115|Administration|Rejected|P2
5923232A-46BC-15FD-7FED-8459A20F0080|Willow N. Talley|97770|Product|Closed|P2
DCE94705-733D-1E2F-0857-3EF587BA07E9|Eugenia J. Long|19468|Administration|Pending Input|P1
D6C5AC2F-EA85-453D-73D8-2248F188ED99|Xena H. Miranda|67344|Administration|Rejected|P1
5680B33A-664C-6DDB-C760-3758B6AAF798|Zeus Mendoza|55793|Administration|Closed|P3
C7FE4ADE-E640-6AC1-4B64-C012D3AFA511|Ignacia J. Gay|66604|Administration|Assigned|P3
AB532927-7227-19B9-C6EF-D7D3ED24D7D9|Guy Vega|00668|Administration|Rejected|P2
941E4794-5DF3-0A90-9CB6-308905428420|Natalie M. Lindsey|18847|Administration|New|P1
0A2E3AB7-52A6-B494-E531-7B8450604968|Graiden F. Valdez|71338|Product|Pending Input|P1
3652E04B-ED35-032B-4626-FC60D97249A5|Joseph E. Morse|72588|Administration|Closed|P1
3EBD7843-7530-B9A8-F233-70191B308463|Michelle X. Gonzalez|67372|Administration|Closed|P3
6D7EF03E-8A99-1522-C608-D2DBBA494FA2|Rigel H. Boyd|98731|Administration|Rejected|P3
70C56FF0-86DF-8E4A-E77F-BD6F3476B2A2|Todd Donovan|20148|Product|Rejected|P1
44EE2946-3E9B-E2A0-A920-D8C93C60828B|Eugenia Good|32627|Product|Closed|P2
0670F90A-29B4-51E8-FE76-E37CD5DB73BF|Blaze M. Wright|95489|Product|Closed|P2
0210E5C6-B33A-1814-9F5B-4E1D2D2287E8|Daquan Tran|50943|Administration|Closed|P2
5EDFE72A-B74A-3570-EB1F-89F70AE034EB|Sloane Cole|78239|Product|Closed|P3
202526C2-121E-30D9-82F3-58A2D37A9A6C|Jin Cochran|91259|Product|New|P2
B4B2490D-258E-D3B3-4A13-EC8576E8ABEF|Jasmine Lowe|99569|Product|Assigned|P2
F98729B6-0FD1-8D94-3A1B-2980B1D94ED3|Molly G. Robertson|01121|Administration|Pending Input|P1
BB5F5202-52FA-421D-A30C-08EC8E0CD375|Rebekah Dominguez|04966|Product|Closed|P3
5198C146-C6AF-528C-CB89-DAA09BFCDA11|Mary Britt|64540|Administration|Rejected|P3
C5D0B3A2-B537-1F66-FCFD-FA1994DB7B40|Maggie Long|54827|Product|Assigned|P3
2A8111B0-A69D-DB47-1BAF-BF4439A2761C|Kimberly D. Soto|24798|Administration|Pending Input|P1
144D3486-114B-950B-0C23-D515C6A74BFC|Bethany Nunez|04674|Administration|Pending Input|P3
CF02B931-4463-6994-1954-C13643C02057|Vanna Hughes|72144|Product|New|P2
B6E9EA70-15E6-7037-BB2A-0B2B59FFC661|Unity R. Beasley|50249|Product|Pending Input|P1
EAAD7603-A583-C76E-87D9-5478B35D7A4D|Breanna Y. Roberts|76988|Administration|Pending Input|P1
C1331661-E476-9FF6-890D-10CB4397F309|Wesley I. Hutchinson|90672|Product|Closed|P1
7F7B4763-960E-C340-1AB0-A49F04FEA8C6|Phillip B. Sampson|90828|Product|Closed|P3
11CC494B-5F2E-898D-ECC7-56BE2C9D64DB|Zachery Alston|61538|Product|Pending Input|P2
240BAE49-F90B-0C8F-1B6C-3F140D609653|Isabella Wilkins|46753|Administration|Pending Input|P2
20B8D4F1-54CB-2839-1F0D-AF7BEFC41624|David Guthrie|49472|Administration|Assigned|P1
42A6811A-6722-7006-BAEA-87CD6FFEF47C|Dennis Farrell|40530|Administration|Closed|P1
4F48AC5E-F1E6-64D0-96CD-68D15676E204|Steven Summers|20463|Product|Closed|P2
64481357-BA0D-DBF7-8E3B-FC7775C9C1F0|Zia U. Gross|42521|Product|Pending Input|P1
