CASE_ID,CASE_NAME,CASE_NUMBER,CASE_TYPE,CASE_STATUS,CASE_PRIORITY
6F175768-5E86-6580-30A1-547CFB3C4168,Samuel Tillman,1612091814599,Product,Pending Input,P2
BDEC0C75-5022-EECF-94DB-3873653509EA,Fulton Villarreal,1647031054999,Product,Pending Input,P2
D17D6DB7-797D-4BEF-100C-A89BDC5EC59A,Barclay Rodgers,1651031986099,Product,Closed,P2
7F56AB72-F153-9304-7C62-7BB90E27789F,Kieran Garrett,1624111835099,Product,Rejected,P2
8C5F587C-8F8F-041C-30E4-B3DCCCDD23D4,Nigel Lyons,1685100304099,Product,Pending Input,P1
96E9B5D6-3FF0-B13D-5549-F25633BCD889,Akeem Ochoa,1687020129199,Administration,Rejected,P2
D16C53FB-3F37-C892-925F-81340EC219EE,Stephen Conrad,1695061206399,Product,Pending Input,P3
2E1D98DB-9DFC-8606-2620-45563E46E327,Reese Whitley,1694040702299,Administration,Pending Input,P1
357BD9E3-AFE3-A1D1-E1DD-2114583FE11A,Hasad Cain,1633032332899,Product,Closed,P3
CF6797B4-2181-6BF5-7413-73C17AF1E52A,Vladimir Hewitt,1697062216899,Product,Pending Input,P2
323EC94C-75E5-EBB6-0456-E2C47C672A42,Lucas Levy,1683010536899,Product,Pending Input,P3
40EAE2B8-DFFE-B582-C284-6C0FC11AB2B1,Shad Thompson,1696030565299,Product,Pending Input,P2
1712E97D-01BD-B1D2-00B4-1EAF3DF298C6,Jason Jarvis,1688081508099,Product,Closed,P2
D2194E0F-3DD0-91E9-5E20-CD4D0C14C481,Amir Wong,1623031070299,Product,Closed,P3
AB7CCF42-7E4F-1671-31F9-751BF8881B8F,Dane Serrano,1644061095599,Product,Pending Input,P2
ED31803C-C06B-C394-7A49-427A2D87DB29,Leroy Hanson,1645061013699,Product,Closed,P1
BBDFA7CC-9E0C-22CB-E643-2B55E411FCBB,Philip Hernandez,1606021636299,Administration,Pending Input,P3
4775CE18-7BCD-B5DA-DAF2-1D71CB9B0A5E,Quamar Benton,1600090808099,Product,New,P1
218BB285-BAA9-D733-8FE3-0E4629778969,Bernard Hensley,1693091782599,Administration,Closed,P1
5808D374-7CBB-2E39-3357-9ADD515C8A20,Xanthus Mccoy,1628121997199,Administration,Closed,P3
5B99E3F9-F075-41C4-05BF-BA4D63394A68,Duncan Nolan,1627110448599,Product,Pending Input,P1
E8CC20A8-FD4E-6BCA-D37C-7235DD164FCD,Basil Robbins,1663091465899,Administration,New,P2
E53EBD1D-CCA2-17BA-3EB3-3D1D72E30C8E,Sean Mccall,1632080492299,Product,Rejected,P2
A5461E5A-7E6B-C8EF-4396-81C3A306C0A6,Oren Robinson,1659072947199,Product,Pending Input,P1
A6FD4134-69A7-45C4-01A7-FF0FBDA3E105,Graham Mcpherson,1628072499599,Product,Closed,P1
4EB437C3-FBBD-15C0-5152-8CE8054E6330,Gray Fleming,1679110239699,Product,New,P1
4FAF00BE-BEFF-8B89-6793-ADC57770D3DB,Lawrence Vincent,1622031824499,Product,Pending Input,P2
55395EDC-D6E5-2A29-C9FE-F01D7C16A99E,Erasmus Schultz,1685102711299,Administration,Assigned,P3
CA6E6875-DE10-C3D7-7948-58E615D72152,Theodore Young,1652121825799,Product,Pending Input,P2
B51F8FD3-78AF-35AE-459D-AF79083AD712,Knox Guthrie,1641092896899,Product,Pending Input,P3
3414FB6C-ED6E-A203-7D2D-80D2649258B6,Marsden Travis,1639110725299,Product,Closed,P2
5EA99380-3744-51FA-1EC2-049C45CAFE9C,Eagan Davenport,1626010834099,Administration,Pending Input,P2
0D864A2E-B1E1-0320-C5D8-53E2DC21B73E,Kelly Bridges,1639042573599,Product,Closed,P1
F74C71DE-5127-F52A-0A92-1A8D83EB13A8,Forrest Sampson,1620072748099,Product,New,P2
B9681C7A-5BFB-DB4D-41F5-C35802283700,Magee Byers,1696122187699,Product,Pending Input,P2
FE7E3890-C5C3-D70E-3102-0D233380CE55,Merritt Huff,1658122999699,Administration,Pending Input,P1
8F197A45-E1DE-A9C5-677F-5FA00BDCE1E7,Erich Mullen,1660100788499,Product,Pending Input,P2
242E1359-3CE2-D0AA-AB7F-41640E167920,Dean Buckley,1690051964899,Product,Pending Input,P2
C10FAE6F-E256-DB45-0476-BC18FE0B0132,Carl Sweeney,1657050139699,Product,Closed,P2
1F8CD10D-191E-2946-8C58-D0482F82BA6D,Gray Mcgee,1649072913599,Product,Pending Input,P1
6FED4C24-B684-63F4-9C02-67CCFB39CB2B,Grant House,1642102912499,Product,Assigned,P2
7E66B79D-1A92-86EA-7AD9-822AB7A49B29,Armand Hardin,1636080270699,Product,Pending Input,P2
C49E9787-B723-D377-52AB-F222FC4CC057,Kevin Boyd,1634041660099,Product,Closed,P2
BD72BB82-051D-4D75-EFDD-0E60D4144EB5,Raja Horn,1684062974799,Product,Pending Input,P2
7DB4DDC2-FC5D-6BF4-B33D-5CFF7ADE35AA,Ishmael Hutchinson,1630100615299,Product,New,P2
530945D2-C1B6-137E-D079-9ECF3F7585E5,Scott Everett,1643061641399,Administration,Closed,P1
4C917074-2B81-C6CA-1FF1-650A89F37A2D,Eric Orr,1694041267999,Administration,Closed,P2
4C24D138-275E-A600-ED37-B2408DC683ED,Kevin Carroll,1611091149399,Product,Assigned,P2
5D0C5996-263E-692E-F12F-126B0E104D49,Kevin Manning,1615081604099,Product,Closed,P2
F3D550D5-0B84-F57B-4D74-60A046CEEA6D,Channing Lindsey,1637032746599,Product,Closed,P2
C4DDF6E9-A5F8-2E1E-AC31-6373CE6B94E0,Alan Singleton,1638090620499,Product,Closed,P1
E820F6CC-74AB-DD2C-4F01-53701AFB16AF,Xavier Pratt,1628092150599,Administration,Assigned,P1
5226462F-3D14-6E08-A9CB-CAA395127969,Vladimir Ford,1654052265899,Product,Pending Input,P1
9E3C42C7-AE2D-A354-C794-B07936FAA6E5,Kasimir Finch,1627040291799,Product,Rejected,P3
30A75604-5C27-A3CC-DBC2-F2DC9358E9E6,Devin Jefferson,1673111442799,Product,Pending Input,P1
331351F7-93F4-67F5-975C-F7DA2F96BB7B,Reed Ashley,1649121537699,Product,Assigned,P2
AB359DBE-A9D2-ED22-74E0-B5F1C907F903,Prescott Kim,1682100960999,Product,Pending Input,P2
83870718-20FF-5060-D138-92DD7AC44C65,Justin Holder,1602020566099,Product,Rejected,P2
160FF81B-EFEC-9B06-5EFD-88AD659E77D2,Demetrius Buck,1678111009599,Product,New,P2
84343809-6716-B17F-488B-71E63B1A8373,Barry Harrison,1651122005199,Product,Closed,P1
