CASE_TK,VERSION,DATE_FROM,DATE_TO,CASE_ID,CASE_NAME,CASE_DESCRIPTION,CASE_DELETED,CASE_NUMBER,CASE_TYPE,CASE_STATUS,CASE_PRIORITY,CASE_RESOLUTION,CASE_STATE
0,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,N/A,Not Set,Not Set,No,0,Not Set,Not Set,Not Set,Not Set,Not Set
1,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,6F175768-5E86-6580-30A1-547CFB3C4168,Samuel Tillman,Not Set,No,1,Product,Pending Input,P2,Not Set,Open
2,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,BDEC0C75-5022-EECF-94DB-3873653509EA,Fulton Villarreal,Not Set,No,1,Product,Pending Input,P2,Not Set,Open
3,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,D17D6DB7-797D-4BEF-100C-A89BDC5EC59A,Barclay Rodgers,Not Set,No,1,Product,Closed,P2,Not Set,Closed
4,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,7F56AB72-F153-9304-7C62-7BB90E27789F,Kieran Garrett,Not Set,No,1,Product,Rejected,P2,Not Set,Closed
5,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,8C5F587C-8F8F-041C-30E4-B3DCCCDD23D4,Nigel Lyons,Not Set,No,1,Product,Pending Input,P1,Not Set,Open
6,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,96E9B5D6-3FF0-B13D-5549-F25633BCD889,Akeem Ochoa,Not Set,No,1,Administration,Rejected,P2,Not Set,Closed
7,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,D16C53FB-3F37-C892-925F-81340EC219EE,Stephen Conrad,Not Set,No,1,Product,Pending Input,P3,Not Set,Open
8,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,2E1D98DB-9DFC-8606-2620-45563E46E327,Reese Whitley,Not Set,No,1,Administration,Pending Input,P1,Not Set,Open
9,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,357BD9E3-AFE3-A1D1-E1DD-2114583FE11A,Hasad Cain,Not Set,No,1,Product,Closed,P3,Not Set,Closed
10,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,CF6797B4-2181-6BF5-7413-73C17AF1E52A,Vladimir Hewitt,Not Set,No,1,Product,Pending Input,P2,Not Set,Open
11,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,323EC94C-75E5-EBB6-0456-E2C47C672A42,Lucas Levy,Not Set,No,1,Product,Pending Input,P3,Not Set,Open
12,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,40EAE2B8-DFFE-B582-C284-6C0FC11AB2B1,Shad Thompson,Not Set,No,1,Product,Pending Input,P2,Not Set,Open
13,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,1712E97D-01BD-B1D2-00B4-1EAF3DF298C6,Jason Jarvis,Not Set,No,1,Product,Closed,P2,Not Set,Closed
14,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,D2194E0F-3DD0-91E9-5E20-CD4D0C14C481,Amir Wong,Not Set,No,1,Product,Closed,P3,Not Set,Closed
15,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,AB7CCF42-7E4F-1671-31F9-751BF8881B8F,Dane Serrano,Not Set,No,1,Product,Pending Input,P2,Not Set,Open
16,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,ED31803C-C06B-C394-7A49-427A2D87DB29,Leroy Hanson,Not Set,No,1,Product,Closed,P1,Not Set,Closed
17,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,BBDFA7CC-9E0C-22CB-E643-2B55E411FCBB,Philip Hernandez,Not Set,No,1,Administration,Pending Input,P3,Not Set,Open
18,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,4775CE18-7BCD-B5DA-DAF2-1D71CB9B0A5E,Quamar Benton,Not Set,No,1,Product,New,P1,Not Set,Open
19,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,218BB285-BAA9-D733-8FE3-0E4629778969,Bernard Hensley,Not Set,No,1,Administration,Closed,P1,Not Set,Closed
20,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,5808D374-7CBB-2E39-3357-9ADD515C8A20,Xanthus Mccoy,Not Set,No,1,Administration,Closed,P3,Not Set,Closed
