LEAD_TITLE,LEAD_SOURCE,LEAD_STATUS,LEAD_ACCOUNT_NAME,LEAD_OPPORTUNITY_NAME,LEAD_FULL_NAME,LEAD_PRIMARY_ADDRESS_POSTCODE,LEAD_PRIMARY_ADDRESS_STREET,STATE_ID
Ms.,Existing Customer,New,,,Anika Hopkins,N4T 1WZ,Ap #850-7256 Lacus. Ave,188
Mrs.,Cold Call,In Process,,,Joelle Welch,JC43 9DD,104-8889 Sed St.,44
Mrs.,Trade Show,New,,,Knox Mcfarland,FD1 3KS,8988 Rutrum Av.,520
Mrs.,Partner,Converted,,,Illana Cain,QS2 6VS,267 Dolor St.,459
Mrs.,Conference,New,,,Mark Meyer,MQ4 0ZB,"Ap #477-4232 Et, Street",268
Ms.,Existing Customer,New,,,Cade Ferrell,LI52 7MC,Ap #196-6046 Amet Road,517
Mrs.,Campaign,Dead,,,Aiko Molina,MQ9U 9QJ,7907 Donec Rd.,446
Mrs.,Campaign,Dead,,,Michelle Leach,K7N 8FL,350-6958 Lectus St.,340
Ms.,Direct Mail,New,,,Jack Poole,X6 8YP,"7956 Elit, St.",462
Mr.,Self Generated,New,,,Abraham Arnold,S2 1LZ,"3817 Lobortis, Road",295
Mr.,Word of mouth,Recycled,,,Zelenia Kelley,JW3X 1WC,469-7929 Varius Av.,434
Mr.,Trade Show,New,,,Bradley Hess,E5M 4FY,5345 Eu Ave,161
Ms.,Trade Show,Converted,,,Wyatt Sanchez,R0 6NC,Ap #591-8912 Dictum Street,453
Mrs.,Public Relations,New,,,Autumn Pitts,RC2P 1AQ,595 Eget Street,54
Mr.,Direct Mail,Assigned,,,Liberty Gibbs,JW67 1CY,"P.O. Box 183, 3560 Eu, Road",458
Ms.,Campaign,Dead,,,Aladdin Grant,FH5N 3SK,180-2766 Ultrices Ave,298
Ms.,Web Site,Assigned,,,Carlos Benton,J3V 2SN,"P.O. Box 726, 3654 At Avenue",527
Ms.,Email,In Process,,,Sydnee Hodge,GQ68 0IP,5330 Nullam Rd.,298
Ms.,Conference,New,,,Rhona Holman,GW0Y 2LR,Ap #679-865 Duis Rd.,318
Mrs.,Other,In Process,,,Keefe Alston,IH4 7TX,"Ap #508-2082 Ac, St.",108
Ms.,Employee,Converted,,,Jason Kirk,A2G 6FC,3057 Et St.,201
Mr.,Self Generated,In Process,,,TaShya Gay,Q6V 2SB,Ap #333-899 Magna. Avenue,300
Mr.,Other,Assigned,,,Chadwick Prince,TQ8 6WP,2463 Ullamcorper Rd.,383
Mr.,Direct Mail,Recycled,,,Cally Kramer,Z20 2KY,8067 Imperdiet Av.,99
