LEAD_TITLE,LEAD_SOURCE,LEAD_STATUS,LEAD_ACCOUNT_NAME,LEAD_OPPORTUNITY_NAME,LEAD_FULL_NAME,LEAD_PRIMARY_ADDRESS_POSTCODE,LEAD_PRIMARY_ADDRESS_STREET,STATE_ID
Mrs.,Employee,Assigned,,OPPORTUNITY-100,Aquila Odonnell,382166,8596 Orci. Street,456
Ms.,Web Site,Converted,Integer In Corporation,OPPORTUNITY-101,Melissa Ayers,2260,6057 Risus. Ave,504
Mrs.,Word of mouth,Dead,Ultricies Corporation,OPPORTUNITY-102,Brendan Singleton,23093,"3376 Orci, Rd.",413
Mr.,Self Generated,Assigned,Sit Amet Ornare LLP,OPPORTUNITY-103,Bradley Burch,82775,"252-4069 Nunc, St.",290
Ms.,Cold Call,Assigned,,OPPORTUNITY-104,Marvin Britt,10485,Ap #395-8350 Nullam St.,181
Mr.,Word of mouth,Recycled,Ipsum Corp.,OPPORTUNITY-105,Fritz Anderson,941240,Ap #782-9810 Vel Street,285
Mrs.,Word of mouth,Dead,Urna Nullam Lobortis LLC,OPPORTUNITY-106,Sierra Henry,91938-27077,Ap #208-6152 Lorem Ave,471
Mr.,Trade Show,Converted,Tellus Ltd,OPPORTUNITY-107,Emma Melton,18946,3875 Elit Road,167
Mr.,Public Relations,Dead,,OPPORTUNITY-108,Timon Roman,22471,786-1462 Tristique Street,70
Mrs.,Trade Show,Assigned,Orci Sem Eget Company,OPPORTUNITY-109,Jordan Cherry,40201,8472 Mauris Ave,278
Mrs.,Web Site,Dead,Leo Ltd,OPPORTUNITY-110,Jael Quinn,99670-849,5854 Quam Avenue,51
Ms.,Existing Customer,Recycled,Dui Semper Ltd,OPPORTUNITY-111,Ezekiel Noble,408498,"P.O. Box 511, 8367 Etiam St.",512
Mr.,Web Site,Assigned,,OPPORTUNITY-112,Imani Wong,3888,806-8211 Cum St.,26
Mrs.,Trade Show,Recycled,Lacus Mauris Consulting,OPPORTUNITY-113,Zena Murray,6087 XW,"P.O. Box 734, 5313 At Av.",68
Mrs.,Campaign,In Process,Ipsum Corp.,OPPORTUNITY-114,Sarah Bartlett,328880,"Ap #797-646 Et, Ave",87
Ms.,Web Site,Converted,Ipsum Corp.,OPPORTUNITY-115,Dieter Hardy,Z3250,"P.O. Box 972, 7979 Ac Road",57
Mr.,Other,Assigned,Dui Semper Ltd,OPPORTUNITY-116,Belle Cooley,822176,6875 Lacus. Av.,105
Ms.,Other,In Process,,OPPORTUNITY-117,Colt Conley,S6Y 1V8,2984 Sapien. Street,39
Mrs.,Other,Assigned,Leo Ltd,OPPORTUNITY-118,Mufutau Case,40170,"P.O. Box 467, 2405 Mauris. St.",508
Ms.,Campaign,In Process,Amet Corporation,OPPORTUNITY-119,Tad Bradley,12327,8996 Sed Street,102
Mrs.,Word of mouth,Converted,Sit Amet Ornare LLP,OPPORTUNITY-120,Gary Harrington,53971-44026,"P.O. Box 450, 780 Velit. Rd.",227
Ms.,Web Site,In Process,Lacus Mauris Consulting,OPPORTUNITY-121,Gray Graham,2086,"P.O. Box 431, 9175 In Avenue",364
Mr.,Partner,Assigned,Lacus Mauris Consulting,OPPORTUNITY-122,Ferris Mcdonald,01196,"P.O. Box 518, 6685 Nibh Ave",68
Mrs.,Trade Show,Assigned,Dui Semper Ltd,OPPORTUNITY-123,Nerea Sparks,730082,6767 Egestas. Ave,254
Ms.,Conference,Converted,Condimentum Eget Company,OPPORTUNITY-124,Ella Roth,377558,Ap #768-3645 Nullam St.,450
Mr.,Trade Show,In Process,Condimentum Eget Company,OPPORTUNITY-125,Arden Hale,9346,"P.O. Box 685, 3044 Urna Ave",441
Mrs.,Cold Call,Dead,Felis Eget Corporation,OPPORTUNITY-126,Ursula Ford,741482,168-6559 Proin Ave,75
Mrs.,Trade Show,Converted,Et Malesuada Fames Associates,OPPORTUNITY-127,Gray Hampton,6650 TP,287-1675 Nulla Road,22
Mrs.,Partner,Recycled,,OPPORTUNITY-128,Victoria Turner,CG2 9CX,722-7773 Enim Rd.,429
Ms.,Direct Mail,In Process,Et Malesuada Fames Associates,OPPORTUNITY-129,Carolyn Franks,95946,307-6644 Elementum Avenue,503
Mr.,Existing Customer,Recycled,Donec Non Justo Corporation,OPPORTUNITY-130,Malcolm Mcleod,816519,2043 Velit. Rd.,63
Mr.,Other,Recycled,Cursus Et Eros LLP,OPPORTUNITY-131,Illiana Cameron,7792,9308 Et St.,483
Ms.,Employee,Converted,Ipsum Corp.,OPPORTUNITY-132,Blossom Lindsay,08544,"P.O. Box 555, 368 Duis Avenue",24
Mr.,Web Site,In Process,Ultricies Corporation,OPPORTUNITY-133,Melissa Langley,162290,218-900 Posuere St.,169
Mr.,Email,Assigned,Et Malesuada Fames Associates,OPPORTUNITY-134,Prescott Cortez,42364,454-9844 Elit Avenue,36
Ms.,Campaign,Converted,,OPPORTUNITY-135,Jada Cannon,832744,"P.O. Box 454, 9177 Magna Street",90
Mrs.,Conference,Dead,Sit Amet Ornare LLP,OPPORTUNITY-136,Shannon Pollard,09217,4117 Et Street,64
Mr.,Employee,In Process,Aliquam Rutrum Lorem Industrie,OPPORTUNITY-137,Regan Rose,69035,"P.O. Box 188, 1472 Nec, Rd.",421
Mr.,Web Site,In Process,Lacus Mauris Consulting,OPPORTUNITY-138,Kay Bowen,5862,"P.O. Box 288, 8682 Elit. Rd.",406
Mrs.,Cold Call,Dead,Aliquam Rutrum Lorem Industrie,OPPORTUNITY-139,Cedric Hamilton,37-844,765-8465 Aliquam Road,262
Mrs.,Word of mouth,Assigned,Felis Eget Corporation,OPPORTUNITY-140,Alan Rowe,551915,Ap #421-9566 Nibh Ave,249
Mrs.,Employee,Recycled,Tellus Ltd,OPPORTUNITY-141,Emery Copeland,48411,560-3503 Suspendisse Avenue,420
Mr.,Email,In Process,Et Malesuada Fames Associates,OPPORTUNITY-142,Ila Pearson,46544,421-8535 Dis Rd.,319
