LEAD_TITLE,LEAD_SOURCE,LEAD_STATUS,LEAD_ACCOUNT_NAME,LEAD_OPPORTUNITY_NAME,LEAD_FULL_NAME,LEAD_PRIMARY_ADDRESS_POSTCODE,LEAD_PRIMARY_ADDRESS_STREET,STATE_ID
Mr.,Campaign,Recycled,",",",",Chantale Cooke,34052-46704,855-5048 Arcu. St.,236
Ms.,Email,Dead,",",",",Burke Lawrence,Z0100,"Ap #102-3431 Tortor, Rd.",234
Mr.,Partner,Assigned,",",",",Naida Camacho,843227,"P.O. Box 750, 771 Ipsum. Avenue",111
Mrs.,Existing Customer,Recycled,",",",",Cruz Peters,882655,8299 Phasellus St.,395
Ms.,Trade Show,Dead,",",",",Len Rodriquez,5916 JF,818-9785 Dolor. Ave,218
Mr.,Campaign,Dead,",",",",Alexandra Mccall,12060-82511,"P.O. Box 686, 4928 Nec Av.",410
Ms.,Word of mouth,Assigned,",",",",Holmes Hughes,608376,578-2846 Malesuada St.,197
Mrs.,Existing Customer,Recycled,",",",",Rosalyn Jacobs,99985-07418,5293 Tempor Rd.,496
Mrs.,Existing Customer,Dead,",",",",Kellie Hickman,49729,"P.O. Box 287, 1741 Duis St.",239
Ms.,Other,Recycled,",",",",Norman Graves,4526,"3308 Adipiscing, St.",210
Ms.,Self Generated,Assigned,",",",",Len Knapp,65401-757,"308-9417 Nec, Street",527
Mrs.,Conference,Dead,",",",",Erica Stark,19887-45485,Ap #929-3461 Libero Avenue,181
Mrs.,Cold Call,Dead,",",",",Akeem Buchanan,62579,"P.O. Box 170, 6683 Sapien Avenue",342
Mrs.,Existing Customer,Dead,",",",",Ulric Mcclain,6323,4102 Nisl. St.,178
Ms.,Trade Show,Dead,",",",",Darrel Cross,28961,3826 Felis Street,250
Ms.,Email,Assigned,",",",",Leah Fuller,926808,4266 Sed Street,314
Mrs.,Direct Mail,Recycled,",",",",Quynn Scott,7413 UX,9862 Ut Avenue,371
Mr.,Campaign,Dead,",",",",Carlos Sheppard,06047,4274 Magna Avenue,101
Ms.,Conference,Assigned,",",",",Georgia Sweeney,3548,"P.O. Box 396, 6540 A, Av.",421
Ms.,Existing Customer,Assigned,",",",",Keith Britt,71004,4400 In Rd.,521
Mr.,Conference,In Process,",",",",Tatiana Reese,21558,943-5239 Nunc Rd.,451
Mrs.,Cold Call,Dead,",",",",Quinn Camacho,7885,935-5689 Sociis Road,181
Ms.,Cold Call,Assigned,",",",",Cathleen Ashley,92552,Ap #163-8139 Neque. St.,313
Mrs.,Self Generated,Dead,",",",",Lunea Knapp,948426,226-8353 Lobortis Street,25
Ms.,Partner,In Process,",",",",Travis Livingston,710177,100-7539 Ipsum Street,337
Mrs.,Self Generated,Assigned,",",",",Luke Forbes,31354,Ap #233-7058 Sed St.,79
Mrs.,Partner,Dead,",",",",Wynter Farmer,30209,3801 Sit Road,447
Ms.,Other,Recycled,",",",",Coby Atkinson,839192,"P.O. Box 600, 4033 Interdum. Road",298
Mrs.,Other,Recycled,",",",",Asher Stokes,20323,"P.O. Box 553, 6022 Sed Ave",277
Mrs.,Other,Assigned,",",",",Barbara Ayers,06446,7306 Phasellus Rd.,40
Ms.,Email,Dead,",",",",Wayne Rutledge,363103,Ap #853-3639 Nulla Road,350
Ms.,Partner,Recycled,",",",",Vance Horne,660619,4739 Elit Ave,169
Ms.,Self Generated,Assigned,",",",",Juliet Vazquez,1785,Ap #455-3470 Hendrerit Road,516
Mr.,Conference,Assigned,",",",",Aquila Harmon,64726-153,923-7538 Vitae St.,39
Mr.,Partner,In Process,",",",",Maxwell Williamson,Z4134,"P.O. Box 154, 542 Et Rd.",106
Mr.,Direct Mail,Recycled,",",",",Jordan Marquez,4599,"P.O. Box 163, 9564 Eget Street",158
Mr.,Existing Customer,In Process,",",",",Cole Dean,14894,Ap #180-1413 Justo Avenue,394
Ms.,Web Site,In Process,",",",",Tyrone Watkins,Z1919,Ap #522-6571 Varius St.,316
Mr.,Public Relations,Dead,",",",",Kristen Carlson,6125,Ap #880-4135 Posuere St.,423
Mrs.,Direct Mail,In Process,",",",",Jelani Manning,113426,"7178 Erat, St.",70
Mrs.,Email,Recycled,",",",",Leonard James,4448,658-1669 Semper Street,22
Mr.,Web Site,Recycled,",",",",Kamal Thompson,62344,4662 Cursus Avenue,476
Mrs.,Web Site,Dead,",",",",Tucker Stephenson,69531,7664 Quisque Rd.,446
Mrs.,Email,Recycled,",",",",Harlan Spencer,3240 RW,Ap #989-9588 Cras Road,226
Ms.,Word of mouth,In Process,",",",",Maggie Fuentes,144313,"P.O. Box 683, 4620 Ac, Road",155
Mr.,Public Relations,Assigned,",",",",Curran Dawson,269774,660-4642 Non Road,147
Mr.,Trade Show,In Process,",",",",Chastity Clark,B8 2GW,"9015 Purus, Road",123
Mr.,Self Generated,Assigned,",",",",Malachi Delacruz,EG9W 5YR,902-8474 Suspendisse Av.,454
Mrs.,Trade Show,Dead,",",",",Bryar Suarez,ZT9 7PG,9285 Posuere St.,285
Ms.,Trade Show,Recycled,",",",",Dora Perez,11439,3653 Est St.,250
Ms.,Partner,Assigned,",",",",Miriam Simon,84762,161-1993 Malesuada St.,2
Mrs.,Partner,Dead,",",",",Gareth Simpson,55847-93500,"P.O. Box 750, 7608 Dapibus Rd.",307
Mr.,Direct Mail,Recycled,",",",",Felicia Willis,6918,"P.O. Box 496, 629 Sed Rd.",151
