LEAD_TITLE,LEAD_SOURCE,LEAD_STATUS,LEAD_ACCOUNT_NAME,LEAD_OPPORTUNITY_NAME,LEAD_FULL_NAME,LEAD_PRIMARY_ADDRESS_POSTCODE,LEAD_PRIMARY_ADDRESS_STREET,STATE_ID
Mr.,Conference,Dead,,,Daryl Briggs,QQ8F 5OU,519-6783 Lacinia. Rd.,37
Mrs.,Trade Show,Assigned,,,Orson Heath,EP2 5OY,Ap #616-8333 Phasellus Av.,303
Mr.,Conference,Dead,,,Hillary Cote,VG6 9NN,"P.O. Box 815, 3477 Orci, Ave",385
Mr.,Campaign,Converted,,,Felix Trevino,G5 1VN,"6470 A, Rd.",194
Ms.,Self Generated,Recycled,,,Dylan Guthrie,H8C 7ZT,598-7413 Quam Av.,249
Ms.,Direct Mail,Converted,,,Denise Nicholson,B0F 8JP,6990 Ut St.,208
Ms.,Web Site,Converted,,,Jarrod Rowe,HE8B 7UZ,8949 Donec St.,338
Mrs.,Public Relations,In Process,,,Lewis Knox,T09 2RJ,407-8128 Sodales St.,163
Ms.,Direct Mail,Converted,,,Ignatius Jacobs,B8 1EP,Ap #807-9236 Turpis Rd.,124
Ms.,Word of mouth,New,,,Harriet Cox,O3 6XR,247-6207 Augue. St.,222
Mrs.,Email,Converted,,,Madonna Evans,DN8 4CI,"P.O. Box 976, 4743 Cum Rd.",476
Mrs.,Public Relations,Dead,,,Howard Irwin,Z5T 1NU,386-4927 Ut Av.,346
Ms.,Web Site,In Process,,,Hadassah Monroe,SH9O 0KE,Ap #735-8271 Feugiat Street,13
Ms.,Campaign,Dead,,,Quon Castaneda,LI4M 7QX,5454 Turpis. Av.,3
Mrs.,Email,Converted,,,Abbot Whitfield,SY9 5KI,5623 Luctus Road,488
Mrs.,Email,Converted,,,Jordan Fry,C5S 9PC,Ap #898-2366 Quis Av.,378
Ms.,Cold Call,Assigned,,,Alma Wilkerson,VG2 2KW,1840 Et Rd.,275
Mr.,Direct Mail,In Process,,,Akeem Fleming,ZP2 9DR,"P.O. Box 649, 7118 Aliquet Rd.",221
