USER_TK,VERSION,DATE_FROM,DATE_TO,USER_ID,USER_DELETED,USER_NAME,USER_FIRST_NAME,USER_LAST_NAME,USER_FULL_NAME,USER_DESCRIPTION,USER_TITLE,USER_DEPARTMENT,USER_PHONE_HOME,USER_PHONE_MOBILE,USER_PHONE_WORK,USER_PHONE_OTHER,USER_STATUS,USER_ADDRESS_STREET,USER_ADDRESS_CITY,USER_ADDRESS_STATE,USER_ADDRESS_COUNTRY,USER_ADDRESS_POSTCODE
0,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,N/A,No,Not Set,Not Set,Not Set,Not Set,Not Set,Not Set,Not Set,Not Set,Not Set,Not Set,Not Set,Not Set,Not Set,Not Set,Not Set,Not Set,Not Set
1,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,2,No,akeemyoder,Akeem,Yoder,Akeem Yoder,Not Set,Not Set,Not Set,0800 1111,(016826) 18174,070 4708 6939,07624 053202,Active,"P.O. Box 731, 803 Duis Ave",Not Set,Hampshire,England,381845
2,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,3,No,viviencolley,Vivien,Colley,Vivien Colley,Not Set,Not Set,Not Set,0845 46 42,0800 206199,07966 402510,0397 688 4277,Active,"3627 Vulputate, Street",Not Set,Dinas Powys,Wales,98590
3,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,4,No,rajveerhowell,Rajveer,Howell,Rajveer Howell,Not Set,Not Set,Not Set,0800 1111,07494 641086,056 2756 6146,(023) 5576 1376,Active,"P.O. Box 944, 190 Id Av.",Not Set,East Lindsey,England,393793
4,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,5,No,evie-roserangel,Evie-Rose,Rangel,Evie-Rose Rangel,Not Set,Not Set,Not Set,0800 321976,(01631) 878552,(01447) 77504,0888 019 0097,Active,"P.O. Box 787, 709 Duis Ave",Not Set,South Lanarkshire,Scotland,99706
5,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,6,No,connahhardin,Connah,Hardin,Connah Hardin,Not Set,Not Set,Not Set,0343 349 0196,076 5201 4302,(016977) 0964,(016977) 5903,Active,"121-2176 Magna, Road",Not Set,Aberdeenshire,Scotland,552479
6,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,7,No,codycheste,Cody,Cheste,Cody Cheste,Not Set,Not Set,Not Set,(01805) 13605,0845 46 48,0845 46 42,056 5469 1734,Active,"P.O. Box 763, 6318 Vivamus St.",Not Set,Lancashire,England,JO7 3JT
7,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,8,No,normahampton,Norma,Hampton,Norma Hampton,Not Set,Not Set,Not Set,0827 566 5160,(01492) 779629,(0111) 496 5368,(012492) 96933,Active,4607 Egestas Road,Not Set,Babergh,England,7065
8,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,9,No,shanicedunne,Shanice,Dunne,Shanice Dunne,Not Set,Not Set,Not Set,0500 489787,(016977) 0460,(01549) 808710,(017560) 99121,Active,Ap #542-7630 Aenean St.,Not Set,Rugby,England,999776
9,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,10,No,otischilds,Otis,Childs,Otis Childs,Not Set,Not Set,Not Set,070 8902 3257,056 5949 3747,0319 341 0619,(0117) 800 6006,Active,406 Duis Street,Not Set,Lancashire,England,11117
10,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,11,No,adelinaeverett,Adelina,Everett,Adelina Everett,Not Set,Not Set,Not Set,070 8413 3826,0905 628 7272,(0191) 029 6169,055 3711 3333,Active,481-8146 Morbi Rd.,Not Set,Rhoose,Wales,55823
11,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,12,No,devanray,Devan,Ray,Devan Ray,Not Set,Not Set,Not Set,07624 914968,0800 179649,0800 1111,07624 404498,Active,7455 Curabitur Rd.,Not Set,Three Rivers,England,21337
12,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,13,No,giaeaston,Gia,Easton,Gia Easton,Not Set,Not Set,Not Set,0500 412431,(01034) 708565,(016977) 9928,076 7654 7646,Active,393-6674 Id St.,Not Set,North Dorset,England,132184
13,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,14,No,lewisroach,Lewis,Roach,Lewis Roach,Not Set,Not Set,Not Set,0500 286231,070 3305 6161,07624 781775,0800 1111,Active,"311-7016 Vel, Street",Not Set,Trafford,England,5318 VB
14,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,15,No,gilesfrazier,Giles,Frazier,Giles Frazier,Not Set,Not Set,Not Set,(018735) 12028,(010068) 70476,076 9052 8475,(029) 7200 8138,Active,Ap #688-7375 Nec Rd.,Not Set,Weymouth and Portland,England,4584
15,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,16,No,conahwills,Conah,Wills,Conah Wills,Not Set,Not Set,Not Set,0800 709 2643,07350 520979,056 2353 7959,0981 868 9166,Active,954-4171 Sapien. Av.,Not Set,Luton,England,17252
16,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,17,No,emilijadudley,Emilija,Dudley,Emilija Dudley,Not Set,Not Set,Not Set,(016977) 2292,0500 891272,0800 1111,(0114) 272 5395,Active,Ap #645-2046 Egestas St.,Not Set,North Kesteven,England,75620
